time,temp_c,minutes,relative_humidity,absolute_humidity_g_per_kg
00:10,26.8,0,81.0,18.02634676162771
00:20,26.6,10,81.0,17.809404196136953
00:30,26.6,20,81.0,17.809404196136953
00:40,26.6,30,81.0,17.809404196136953
00:50,26.5,40,81.0,17.701819286617756
01:00,26.5,50,82.0,17.92665883390383
01:10,26.4,60,83.0,18.041862840105246
01:20,26.4,70,83.0,18.041862840105246
01:30,26.3,80,83.0,17.932669408345625
01:40,26.2,90,83.0,17.8240731753803
01:50,26.1,100,83.0,17.716071138923155
02:00,25.9,110,83.0,17.501837720974343
02:10,25.9,120,83.0,17.501837720974343
02:20,25.9,130,81.0,17.06853381319998
02:30,25.8,140,82.0,17.180225911903335
02:40,25.7,150,82.0,17.07591398252427
02:50,25.8,160,81.0,16.96499645952758
03:00,25.9,170,82.0,17.2851123443485
03:10,25.9,180,87.0,18.37021067325028
03:20,25.8,190,90.0,18.907295494710347
03:30,25.6,200,90.0,18.677717313450046
03:40,25.6,210,91.0,18.891550668433318
03:50,25.5,220,92.0,18.9890014866688
04:00,25.5,230,91.0,18.77636861556117
04:10,25.5,240,91.0,18.77636861556117
04:20,25.5,250,91.0,18.77636861556117
04:30,25.6,260,83.0,17.18486986485072
04:40,25.8,270,82.0,17.180225911903335
04:50,25.9,280,82.0,17.2851123443485
05:00,25.8,290,82.0,17.180225911903335
05:10,25.8,300,83.0,17.39560040923899
05:20,25.9,310,82.0,17.2851123443485
05:30,25.9,320,82.0,17.2851123443485
05:40,26.0,330,82.0,17.390576178387494
05:50,26.0,340,82.0,17.390576178387494
06:00,26.0,350,82.0,17.390576178387494
06:10,26.1,360,83.0,17.716071138923155
06:20,26.1,370,81.0,17.27732002595372
06:30,26.3,380,82.0,17.710461291904142
06:40,26.2,390,82.0,17.603247717461286
06:50,26.2,400,82.0,17.603247717461286
07:00,26.3,410,80.0,17.26650769063108
07:10,26.8,420,79.0,17.568679864675744
07:20,27.1,430,77.0,17.42436273949904
07:30,27.6,440,76.0,17.7171408487286
07:40,27.5,450,76.0,17.61093279313225
07:50,27.1,460,77.0,17.42436273949904
08:00,27.4,470,77.0,17.742202300341646
08:10,27.0,480,77.0,17.31956309094619
08:20,27.4,490,76.0,17.505299298038924
08:30,27.6,500,75.0,17.477470168229377
08:40,28.1,510,73.0,17.515938693351448
08:50,28.8,520,71.0,17.749302115991043
09:00,28.7,530,69.0,17.133151429232466
09:10,28.9,540,71.0,17.855320392392095
09:20,28.6,550,69.0,17.031382627724113
09:30,29.0,560,69.0,17.441751868226532
09:40,29.2,570,68.0,17.387306112215832
09:50,29.9,580,71.0,18.947352921766466
10:00,29.8,590,69.0,18.289322118463645
10:10,29.9,600,70.0,18.6724775189583
10:20,29.8,610,71.0,18.83550073339724
10:30,29.9,620,67.0,17.849264083098383
10:40,29.9,630,69.0,18.397837780117264
10:50,30.3,640,68.0,18.55657689294319
11:00,30.6,650,68.0,18.887537471045885
11:10,30.7,660,67.0,18.71123283844781
11:20,30.4,670,68.0,18.66631111065285
11:30,30.8,680,68.0,19.111126902308612
11:40,30.9,690,65.0,18.350683999445145
11:50,31.0,700,66.0,18.751218737218583
12:00,31.1,710,65.0,18.56724460316294
12:10,30.7,720,66.0,18.42368864414253
12:20,31.2,730,65.0,18.676386477827872
12:30,31.0,740,63.0,17.8743972823963
12:40,31.0,750,64.0,18.16640434201076
12:50,31.2,760,64.0,18.380566666896353
13:00,31.2,770,65.0,18.676386477827872
13:10,31.6,780,65.0,19.118763235827544
13:20,31.3,790,64.0,18.48849861658015
13:30,31.7,800,62.0,18.317109411985022
13:40,31.8,810,63.0,18.73037010650519
13:50,31.5,820,62.0,18.104498059251195
14:00,31.3,830,64.0,18.48849861658015
14:10,31.6,840,63.0,18.512984551626907
14:20,31.5,850,63.0,18.405146688422313
14:30,31.1,860,63.0,17.979430869107052
14:40,30.9,870,63.0,17.76991647189001
14:50,31.3,880,65.0,18.786106460300374
15:00,30.7,890,67.0,18.71123283844781
15:10,30.6,900,67.0,18.601472965545508
15:20,30.8,910,67.0,18.82157653180462
15:30,30.7,920,65.0,18.136402427439208
15:40,31.0,930,66.0,18.751218737218583
15:50,31.5,940,66.0,19.308789495284607
16:00,30.6,950,67.0,18.601472965545508
16:10,30.7,960,68.0,18.99903535799966
16:20,30.9,970,71.0,20.09933033740365
16:30,30.2,980,73.0,19.847134837881917
16:40,30.3,990,73.0,19.96482704373784
16:50,29.3,1000,74.0,19.08144015167579
17:00,29.5,1010,74.0,19.309621010101484
17:10,30.0,1020,73.0,19.613630368026715
17:20,29.8,1030,72.0,19.1089396152937
17:30,29.6,1040,73.0,19.154055129340072
17:40,29.2,1050,74.0,18.9682657459506
17:50,29.2,1060,77.0,19.761681022164844
18:00,29.2,1070,76.0,19.496991104536615
18:10,29.0,1080,78.0,19.789143239982465
18:20,28.7,1090,79.0,19.69483996656043
18:30,28.6,1100,79.0,19.577388964634707
18:40,28.4,1110,81.0,19.84974575074208
18:50,28.3,1120,81.0,19.731075490339872
19:00,28.3,1130,79.0,19.228827290671166
19:10,27.8,1140,80.0,18.903726699020034
19:20,28.1,1150,79.0,18.999580858808024
19:30,28.1,1160,80.0,19.247524083691793
19:40,28.0,1170,80.0,19.132301941574518
19:50,27.7,1180,81.0,19.032433995225468
20:00,27.6,1190,80.0,18.677622798445018
20:10,27.8,1200,82.0,19.3910531128159
20:20,27.6,1210,81.0,18.918194106205796
20:30,27.6,1220,82.0,19.158946148525832
20:40,27.5,1230,82.0,19.04383767671359
20:50,27.6,1240,81.0,18.918194106205796
21:00,27.5,1250,82.0,19.04383767671359
21:10,27.2,1260,83.0,18.937274722815168
21:20,27.4,1270,83.0,19.16731444816469
21:30,27.5,1280,83.0,19.283279576977385
21:40,27.5,1290,82.0,19.04383767671359
21:50,27.3,1300,85.0,19.525475726790248
22:00,27.0,1310,85.0,19.174469622692833
22:10,27.1,1320,85.0,19.290831871506253
22:20,27.0,1330,85.0,19.174469622692833
22:30,26.9,1340,86.0,19.289917052531177
22:40,26.7,1350,87.0,19.285959627114927
22:50,26.6,1360,88.0,19.39648340220728
23:00,26.6,1370,87.0,19.16927591137455
23:10,26.6,1380,88.0,19.39648340220728
23:20,26.2,1390,89.0,19.152234684803524
23:30,26.1,1400,90.0,19.256454176994133
23:40,26.1,1410,90.0,19.256454176994133
23:50,26.1,1420,90.0,19.256454176994133
24:00,26.2,1430,91.0,19.596181382253093
